Paradise,Bitters [Angostura]
Paradise,Brandy [Apricot]
Paradise,Gin [London]
Pegu Club (v Cointreau),Bitters [Angostura]
Pegu Club (v Cointreau),Bitters [Orange]
Pegu Club (v Cointreau),Cointreau
Pegu Club (v Cointreau),Gin [London]
Pegu Club (v Grand Marnier),Bitters [Angostura]
Pegu Club (v Grand Marnier),Bitters [Orange]
Pegu Club (v Grand Marnier),Gin [London]
Pegu Club (v Grand Marnier),Grand Marnier
Pendennis Club,Bitters [Peychaud's]
Pendennis Club,Bitters [Peychaud's]
Pendennis Club,Brandy [Apricot]
Pendennis Club,Gin [Old Tom]
Penicillin,Scotch [Blended]
Penicillin,Scotch [Islay]
Pimm’s Cup,Pimm's No. 1
Pina Colada,Rum [Cuban White]
Pineapple Daiquiri,Rum [Pineapple]
Pineapple Express,Rhum [Agricole]
Pineapple Express,Rum [Pineapple]
Pisco Sour,Pisco
Planter's Punch,Rum [Cuban Dark]
Planter's Punch,Syrup [Grenadine]
Porto Flip,Brandy [Cognac]
Porto Flip,Port
Prairie Oyster,Mezcal
Queen's Park Swizzle (v Anvil),Bitters [Angostura]
Queen's Park Swizzle (v Anvil),Rum [Cuban White]
Queen's Park Swizzle (v Morganthaler),Bitters [Angostura]
Queen's Park Swizzle (v Morganthaler),Rum [Demerara]
Queen's Park Swizzle (v PDT),Bitters [Peychaud's]
Queen's Park Swizzle (v PDT),Rhum [Agricole]
Queen's Park Swizzle (v PDT),Rum [Demerara]
Ramos Gin Fizz,Gin [London]
Ramos Gin Fizz,Orange Flower Water
Rattlesnake,Absinthe
Rattlesnake,Whiskey [Rye]
Remember the Maine,Absinthe
Remember the Maine,Cherry Heering
Remember the Maine,Vermouth [Sweet]
Remember the Maine,Whiskey [Rye]
Revolver,Coffee Liqueur
Revolver,Scotch [Blended]
Rickey,Gin [London]
Rob Roy,Bitters [Angostura]
Rob Roy,Scotch [Blended]
Rob Roy,Vermouth [Sweet]
Rose,Kirsch
Rose,Vermouth [Dry]
Rosita,Bitters [Orange]
Rosita,Blanco Tequila
Rosita,Campari
Rosita,Quina
Rosita,Vermouth [Dry]
Rosita,Vermouth [Sweet]
Royal Bermuda Yacht Club,Cointreau
Royal Bermuda Yacht Club,Rum [Mount Gay]
Royal Bermuda Yacht Club,Syrup [Falernum]
Royal Smile,Brandy [Apple]
Royal Smile,Gin [London]
Royal Smile,Syrup [Grenadine]
Rum & Rye,Bitters [Chocolate]
Rum & Rye,Rum [Cuban White]
Rum & Rye,Vermouth [Sweet]
Rum & Rye,Whiskey [Rye]
Rum Manhattan,Bitters [Angostura]
Rum Manhattan,Bitters [Orange]
Rum Manhattan,Rum [Aged]
Rum Manhattan,Vermouth [Sweet]
Russian Spring Punch,Crème de Cassis
Russian Spring Punch,Vodka
Rusty Nail,Drambuie
Rusty Nail,Scotch [Blended]
Rye Buck,Bitters [Angostura]
Rye Buck,Whiskey [Rye]
Saratoga Brace Up,Absinthe
Saratoga Brace Up,Brandy [Cognac]
Saturn,Gin [London]
Saturn,Syrup [Falernum]
Saturn,Syrup [Orgeat]
Savoy Tango,Brandy [Apple]
Savoy Tango,Gin [Sloe]
Sazerac,Absinthe
Sazerac,Bitters [Peychaud's]
Sazerac,Vermouth [Sweet]
Sazerac,Whiskey [Rye]
Scofflaw,Bitters [Orange]
Scofflaw,Syrup [Grenadine]
Scofflaw,Vermouth [Dry]
Scofflaw,Whiskey [Rye]
Screwdriver,Vodka
Sea Breeze,Vodka
Seelbach,Bitters [Angostura]
Seelbach,Bitters [Peychaud's]
Seelbach,Cointreau
Seelbach,Sparkling Wine
Seelbach,Whiskey [Rye]
Sex On The Beach,Peach schnapps
Sex On The Beach,Vodka
Shaddock,Aperol
Shaddock,Gin [Genever]
Shaddock,St. Germain
Shaken Stinger,Brandy [Spanish]
Shaken Stinger,Crème de Menthe
Shamrock,Crème de Menthe
Shamrock,Vermouth [Sweet]
Shamrock,Whiskey [Irish]
Sherry Cobbler,Maraschino Liquor
Sherry Cobbler,Sherry
Sidecar,Brandy [Cognac]
Sidecar,Cointreau
Singapore Sling (v Classic),Bénédictine
Singapore Sling (v Classic),Cherry Heering
Singapore Sling (v Classic),Gin [London]
Singapore Sling (v Classic),Syrup [Grenadine]
Singapore Sling (v Raffles Hotel),Bénédictine
Singapore Sling (v Raffles Hotel),Bitters [Angostura]
Singapore Sling (v Raffles Hotel),Cherry Heering
Singapore Sling (v Raffles Hotel),Cointreau
Singapore Sling (v Raffles Hotel),Gin [London]
Singapore Sling (v Raffles Hotel),Syrup [Grenadine]
Sloe Gin Fizz,Gin [Sloe]
Southern Exposure,Gin [London]
Southern Style Julep,Brandy [Cognac]
Southern Style Julep,Rum [Jamaican Dark]
Southside,Gin [London]
Southside,Gin [London]
Spritz Veneziano,Aperol
Spritz Veneziano,Sparkling Wine
Stinger,Brandy [Cognac]
Stinger,Crème de Menthe
Suffering Bastard,Bitters [Angostura]
Suffering Bastard,Gin [London]
Suffering Bastard,Whiskey [Rye]
Sunrise,Blanco Tequila
Sunrise,Crème de Cassis
Sunrise,Syrup [Grenadine]
Sweet and Vicious,Amaro Nonino Quintessentia
Sweet and Vicious,Vermouth [Dry]
Sweet and Vicious,Whiskey [Rye]
Tailspin,Campari
Tailspin,Chartreuse [Green]
Tailspin,Gin [London]
Tailspin,Vermouth [Sweet]
Tequila Sunrise,Blanco Tequila
The Other Left,Campari
The Other Left,Coffee Liqueur
The Other Left,Vermouth [Sweet]
The Other Left,Whiskey [Rye]
The Schnozzle,Absinthe
The Schnozzle,Gin [London]
The Schnozzle,Sherry
The Schnozzle,Vermouth [Dry]
Three Dots & A Dash,Allspice Dram
Three Dots & A Dash,Rhum [Agricole]
Three Dots & A Dash,Rum [Demerara]
Three Dots & A Dash,Syrup [Falernum]
Ti Punch,Rhum [Agricole]
Tipperary,Chartreuse [Green]
Tipperary,Vermouth [Sweet]
Tipperary,Whiskey [Irish]
Tom Collins,Gin [Old Tom]
Tommy's Margarita,Blanco Tequila
Toronto (v Death and Co),Fernet Branca
